City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,Makakilo City,21.3469,-158.0858,73.72,74,0,4.61,US,2023-01-15 06:43:08
223,Longyearbyen,78.2186,15.6401,26.44,68,75,33.38,SJ,2023-01-15 06:43:09
224,Dingle,10.9995,122.6711,79.59,86,100,6.53,PH,2023-01-15 06:43:09
225,Sayansk,54.1088,102.1648,9.91,86,100,6.06,RU,2023-01-15 06:44:10
226,Alta Floresta,-9.8756,-56.0861,68.81,98,100,0.54,BR,2023-01-15 06:44:11
227,Kismayo,-0.3582,42.5454,83.17,67,25,19.6,SO,2023-01-15 06:44:11
228,Champerico,14.3,-91.9167,75.94,77,3,3.13,GT,2023-01-15 06:44:12
229,Mount Gambier,-37.8333,140.7667,65.34,45,0,14.25,AU,2023-01-15 06:42:19
230,Salvador,13.8333,-88.9167,68.4,84,1,4.94,SV,2023-01-15 06:44:14
231,Smidovich,48.6,133.8167,-13.9,90,100,6.31,RU,2023-01-15 06:44:15
232,Talaya,61.3833,152.75,-26.77,98,100,6.17,RU,2023-01-15 06:44:16
233,Arlit,18.7369,7.3853,61.41,24,82,4.97,NE,2023-01-15 06:44:17
234,Ulagan,50.6321,87.9563,13.84,84,100,2.98,RU,2023-01-15 06:44:19
235,Nemuro,43.3236,145.575,22.33,55,100,10.47,JP,2023-01-15 06:44:20
236,Narsaq,60.9167,-46.05,12.42,87,5,7.85,GL,2023-01-15 06:44:22
237,Choma,-16.8065,26.9531,69.8,82,55,7.09,ZM,2023-01-15 06:44:23
238,Garissa,-0.4536,39.6401,83.25,54,7,8.66,KE,2023-01-15 06:44:24
239,Constitucion,-35.3333,-72.4167,57.4,71,0,3.98,CL,2023-01-15 06:44:25
240,Souillac,-20.5167,57.5167,84.58,65,75,16.11,MU,2023-01-15 06:44:25
241,Tiksi,71.6872,128.8694,-29.96,89,100,1.36,RU,2023-01-15 06:44:27
242,Bubaque,11.2833,-15.8333,75.74,68,38,6.02,GW,2023-01-15 06:44:28
243,Houma,29.5958,-90.7195,44.01,85,0,0.0,US,2023-01-15 06:43:56
244,Fortuna,40.5982,-124.1573,48.65,92,31,7.0,US,2023-01-15 06:44:30
245,Manturovo,58.3353,44.7619,17.46,93,100,11.41,RU,2023-01-15 06:44:31
246,Khorinsk,52.1657,109.7726,-5.8,88,75,3.83,RU,2023-01-15 06:44:32
247,Shieli,44.1667,66.75,23.99,30,7,5.82,KZ,2023-01-15 06:44:33
248,Saryozek,44.3583,77.9753,11.5,56,4,0.65,KZ,2023-01-15 06:41:22
249,Malanje,-9.5402,16.341,68.0,85,100,2.8,AO,2023-01-15 06:44:36
250,Simga,21.6333,81.7,79.81,35,0,2.46,IN,2023-01-15 06:44:37
251,Altamont,42.2068,-121.7372,33.98,84,75,12.66,US,2023-01-15 06:40:20
252,Illapel,-31.6308,-71.1653,63.3,76,0,1.72,CL,2023-01-15 06:44:38
253,Delmiro Gouveia,-9.3886,-37.9992,69.87,96,63,3.78,BR,2023-01-15 06:44:38
254,Katsuura,35.1333,140.3,54.37,82,100,12.41,JP,2023-01-15 06:44:38
255,Port Hardy,50.6996,-127.4199,39.38,100,75,4.61,CA,2023-01-15 06:44:39
256,Naze,28.3667,129.4833,67.12,84,100,10.27,JP,2023-01-15 06:44:39
257,Pozo Colorado,-23.4923,-58.7972,68.29,98,100,3.78,PY,2023-01-15 06:44:40
258,Egvekinot,66.3167,-179.1667,-12.93,83,100,20.27,RU,2023-01-15 06:44:40
259,Nouadhibou,20.931,-17.0347,66.4,50,29,14.27,MR,2023-01-15 06:44:41
260,Garavuti,37.5672,68.4469,12.85,72,3,2.8,TJ,2023-01-15 06:44:41
261,Bonavista,48.6499,-53.1147,44.22,98,100,20.71,CA,2023-01-15 06:44:42
262,Ostrovnoy,68.0531,39.5131,31.39,92,100,6.93,RU,2023-01-15 06:44:42
263,Dunedin,-45.8742,170.5036,62.89,80,0,12.33,NZ,2023-01-15 06:44:31
264,Hamilton,39.1834,-84.5333,26.94,86,0,0.0,US,2023-01-15 06:43:10
265,Asosa,10.0667,34.5333,72.73,33,0,6.96,ET,2023-01-15 06:44:43
266,Cozumel,20.5083,-86.9458,71.67,53,75,6.91,MX,2023-01-15 06:40:02
267,Husavik,66.0449,-17.3389,19.92,68,100,10.49,IS,2023-01-15 06:44:44
268,Oranjestad,12.524,-70.027,77.92,90,20,8.05,AW,2023-01-15 06:41:54
269,Pisco,-13.7,-76.2167,66.25,77,98,2.3,PE,2023-01-15 06:44:44
270,Rocha,-34.4833,-54.3333,57.88,81,0,4.32,UY,2023-01-15 06:44:45
271,Vanavara,60.34,102.2797,-25.53,96,100,4.88,RU,2023-01-15 06:45:45
272,Gao,16.6362,1.637,60.26,20,14,11.5,ML,2023-01-15 06:42:30
273,High Level,58.5169,-117.136,10.51,92,100,0.0,CA,2023-01-15 06:45:46
274,Lompoc,34.6391,-120.4579,54.59,95,75,10.36,US,2023-01-15 06:45:46
275,Faanui,-16.4833,-151.75,76.01,86,100,18.32,PF,2023-01-15 06:45:47
276,Padang,-0.9492,100.3543,82.45,81,100,3.44,ID,2023-01-15 06:45:47
277,Torbay,47.6666,-52.7314,56.17,94,100,27.63,CA,2023-01-15 06:45:47
278,Salamiyah,35.0113,37.0532,47.46,77,100,2.46,SY,2023-01-15 06:45:48
279,Yuanping,38.7153,112.7575,22.68,20,0,13.06,CN,2023-01-15 06:45:48
280,Shiyan,32.6475,110.7781,41.14,26,100,7.07,CN,2023-01-15 06:45:49
281,Hanzhong,33.0728,107.0303,35.64,44,100,3.94,CN,2023-01-15 06:45:49
282,Nara,34.6851,135.8049,56.57,33,100,4.52,JP,2023-01-15 06:45:49
283,Hofn,64.2539,-15.2082,19.71,66,10,19.46,IS,2023-01-15 06:45:50
284,Severodvinsk,64.5635,39.8302,32.11,90,100,13.31,RU,2023-01-15 06:45:50
285,Pimentel,-6.8367,-79.9342,68.29,77,0,11.5,PE,2023-01-15 06:45:51
286,Dali,25.7,100.1833,57.2,33,2,7.9,CN,2023-01-15 06:45:51
287,Oranjemund,-28.55,16.4333,65.3,80,57,14.67,NA,2023-01-15 06:45:51
288,Ginir,7.1333,40.7,66.42,32,0,8.84,ET,2023-01-15 06:45:52
289,Bolshoye Murashkino,55.7826,44.7754,9.0,88,19,12.3,RU,2023-01-15 06:45:52
290,Nyurba,63.2842,118.3319,-64.32,99,86,2.3,RU,2023-01-15 06:45:52
291,Sao Joao Da Barra,-21.6403,-41.0511,74.64,89,100,18.66,BR,2023-01-15 06:45:53
292,Aykhal,66.0,111.5,-42.38,97,100,0.65,RU,2023-01-15 06:45:53
